,L_PSNR,L_SSIM,PSNR,SSIM
0,12.674178395,0.475508862195,17.2135336663,0.808300061562
1,13.7334317121,0.405825056274,18.3565252247,0.774805602007
2,16.564083782,0.507318758335,21.0702235703,0.809571051693
3,16.6314953747,0.505784957426,21.1421307073,0.809343761934
4,17.9843384384,0.553773552949,22.4089400595,0.825719184114
5,17.9958655629,0.554679442698,22.4197899637,0.826049010137
6,18.337749166,0.552618103098,22.9378756504,0.834750175404
7,18.3787927633,0.556414096273,22.978619037,0.836377537904
8,18.5108873955,0.562570155855,23.1054610137,0.838457954206
9,18.9864113641,0.596539873547,23.5624467571,0.849937532068
10,19.4488416565,0.631199764263,24.0039359562,0.861357983765
11,22.4431407449,0.753275923164,26.8013854319,0.901887908568
12,22.4431407449,0.753275923164,26.8015355012,0.901904805563
13,22.4431407449,0.753275923164,26.8015355012,0.901904805563
14,22.4431407449,0.753275923164,26.8015355012,0.901904805563
15,22.4431407449,0.753275923164,26.8015355012,0.901904805563
16,22.4431407449,0.753275923164,26.8015355012,0.901904805563
17,22.4593477002,0.753636464792,26.8220499914,0.901906660777
18,22.4593477002,0.753636464792,26.8220499914,0.901906660777
19,22.4593477002,0.753636464792,26.8220499914,0.901906660777
