NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.236,0.354,7.837,14.838,0.608,0.903,0.028,0.000
2,0.317,0.166,9.887,17.240,0.693,0.890,0.405,0.341
3,0.276,0.276,14.057,19.584,0.844,0.899,0.706,0.592
4,0.277,0.244,14.881,20.063,0.871,0.875,0.784,0.594
5,0.139,0.199,21.590,21.402,0.903,0.877,0.865,0.673
6,0.153,0.200,21.147,21.399,0.885,0.876,0.856,0.666
7,0.153,0.108,21.180,23.301,0.884,0.892,0.857,0.769
8,0.136,0.108,23.487,23.315,0.911,0.891,0.899,0.771
9,0.123,0.109,24.009,23.333,0.918,0.890,0.921,0.773
10,0.122,0.109,24.198,23.370,0.908,0.887,0.928,0.774
11,0.098,0.110,25.307,23.440,0.915,0.884,0.931,0.776
12,0.076,0.105,27.147,23.576,0.940,0.886,0.945,0.782
13,0.074,0.107,27.187,23.916,0.942,0.884,0.946,0.798
14,0.073,0.097,27.191,24.768,0.942,0.895,0.946,0.816
15,0.067,0.097,28.006,24.853,0.946,0.898,0.949,0.819
16,0.060,0.092,28.186,25.104,0.947,0.907,0.949,0.828
17,0.060,0.091,28.187,25.163,0.947,0.910,0.949,0.831
18,0.059,0.074,28.192,26.408,0.948,0.950,0.949,0.873
19,0.060,0.074,28.195,26.436,0.948,0.951,0.949,0.874
20,0.060,0.074,28.199,26.462,0.948,0.952,0.949,0.875
