NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.211,0.174,15.776,20.339,0.842,0.942,0.112,0.095
2,0.248,0.194,17.119,22.096,0.847,0.926,0.256,0.262
3,0.257,0.193,18.496,22.225,0.844,0.924,0.507,0.310
4,0.148,0.189,21.087,22.444,0.859,0.921,0.595,0.337
5,0.154,0.173,21.715,22.826,0.856,0.928,0.599,0.393
6,0.149,0.178,22.507,23.036,0.868,0.925,0.619,0.394
7,0.130,0.158,23.136,24.701,0.868,0.918,0.646,0.539
8,0.126,0.130,23.589,25.948,0.865,0.922,0.697,0.603
9,0.131,0.137,24.136,26.339,0.863,0.919,0.714,0.628
10,0.132,0.140,24.445,26.646,0.863,0.916,0.774,0.648
11,0.130,0.128,24.676,26.964,0.867,0.921,0.781,0.678
12,0.130,0.130,24.949,27.200,0.873,0.923,0.812,0.690
13,0.129,0.130,25.384,27.260,0.877,0.923,0.835,0.697
14,0.127,0.121,25.609,28.588,0.876,0.929,0.840,0.748
15,0.117,0.120,26.224,28.873,0.878,0.930,0.853,0.768
16,0.117,0.120,26.392,28.924,0.880,0.930,0.858,0.770
17,0.118,0.112,26.612,29.085,0.885,0.932,0.870,0.776
18,0.107,0.112,26.855,29.156,0.885,0.932,0.877,0.781
19,0.106,0.113,26.935,29.227,0.885,0.933,0.878,0.785
20,0.106,0.113,26.978,29.266,0.886,0.933,0.880,0.788
