NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.181,0.241,16.100,21.025,0.537,0.799,0.430,0.301
2,0.203,0.123,17.375,22.006,0.581,0.798,0.619,0.435
3,0.199,0.134,17.874,22.631,0.632,0.797,0.681,0.477
4,0.113,0.126,20.473,23.107,0.696,0.805,0.766,0.505
5,0.111,0.127,21.357,23.792,0.708,0.806,0.787,0.564
6,0.110,0.118,21.675,24.414,0.726,0.822,0.806,0.608
7,0.107,0.104,22.426,25.402,0.743,0.837,0.842,0.670
8,0.102,0.103,23.078,25.594,0.761,0.841,0.876,0.673
9,0.096,0.093,23.571,26.197,0.781,0.845,0.892,0.707
10,0.078,0.089,24.104,26.434,0.801,0.851,0.907,0.722
11,0.072,0.089,24.335,26.710,0.810,0.856,0.912,0.732
12,0.070,0.088,24.538,26.752,0.813,0.856,0.916,0.734
13,0.069,0.078,24.723,27.474,0.823,0.870,0.922,0.767
14,0.069,0.066,24.864,28.289,0.830,0.878,0.923,0.799
15,0.068,0.065,25.255,28.442,0.831,0.881,0.930,0.807
16,0.062,0.064,25.549,28.573,0.836,0.883,0.934,0.807
17,0.062,0.059,25.707,28.869,0.841,0.886,0.937,0.816
18,0.062,0.056,25.795,29.076,0.844,0.892,0.938,0.819
19,0.061,0.053,25.976,29.448,0.851,0.897,0.946,0.831
20,0.061,0.052,26.032,29.478,0.853,0.898,0.946,0.832
