NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.213,0.173,10.068,15.219,0.495,0.801,0.100,0.132
2,0.207,0.285,14.178,16.606,0.632,0.814,0.360,0.256
3,0.204,0.154,14.966,18.924,0.639,0.852,0.426,0.473
4,0.193,0.154,18.263,20.168,0.749,0.848,0.553,0.614
5,0.193,0.154,18.442,20.357,0.755,0.855,0.571,0.622
6,0.142,0.125,18.822,23.428,0.770,0.902,0.595,0.808
7,0.136,0.116,18.960,24.268,0.773,0.899,0.616,0.850
8,0.127,0.107,19.434,24.995,0.775,0.902,0.654,0.873
9,0.131,0.099,19.478,25.504,0.775,0.900,0.667,0.890
10,0.124,0.093,23.254,26.033,0.839,0.903,0.756,0.893
11,0.122,0.093,23.620,26.068,0.839,0.904,0.802,0.893
12,0.116,0.090,23.924,26.349,0.849,0.909,0.816,0.897
13,0.105,0.087,24.274,27.046,0.854,0.914,0.815,0.914
14,0.105,0.087,24.450,27.113,0.857,0.915,0.819,0.916
15,0.102,0.083,24.633,27.410,0.856,0.915,0.824,0.921
16,0.102,0.083,24.917,27.471,0.860,0.916,0.843,0.923
17,0.102,0.082,24.989,27.503,0.862,0.916,0.847,0.924
18,0.101,0.080,25.082,27.847,0.865,0.923,0.852,0.928
19,0.101,0.080,25.157,27.868,0.867,0.923,0.861,0.929
20,0.101,0.078,25.188,27.920,0.868,0.923,0.864,0.930
