NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.274,0.180,10.133,15.002,0.491,0.737,0.034,0.087
2,0.248,0.181,11.322,15.562,0.604,0.726,0.251,0.113
3,0.250,0.165,11.370,15.879,0.602,0.744,0.284,0.159
4,0.226,0.223,12.200,16.673,0.614,0.724,0.457,0.277
5,0.211,0.137,12.651,19.548,0.670,0.790,0.528,0.541
6,0.134,0.139,19.396,20.042,0.786,0.785,0.740,0.585
7,0.149,0.138,20.960,20.957,0.779,0.800,0.805,0.659
8,0.164,0.137,20.756,20.995,0.767,0.804,0.821,0.661
9,0.164,0.136,20.898,21.015,0.779,0.805,0.834,0.663
10,0.151,0.136,21.547,21.044,0.793,0.805,0.854,0.666
11,0.142,0.136,21.988,21.087,0.797,0.804,0.855,0.669
12,0.142,0.128,22.031,21.860,0.799,0.822,0.857,0.695
13,0.139,0.126,22.091,21.919,0.804,0.825,0.856,0.699
14,0.139,0.113,22.136,22.689,0.805,0.837,0.858,0.739
15,0.131,0.109,23.063,22.834,0.830,0.844,0.894,0.744
16,0.131,0.107,23.105,22.936,0.831,0.852,0.895,0.748
17,0.130,0.084,23.232,24.078,0.836,0.867,0.900,0.795
18,0.129,0.083,23.372,24.140,0.842,0.870,0.909,0.797
19,0.128,0.082,23.388,24.225,0.845,0.874,0.910,0.800
20,0.128,0.082,23.410,24.262,0.845,0.877,0.911,0.801
