NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.197,0.160,13.578,18.034,0.536,0.801,0.404,0.336
2,0.146,0.149,17.647,22.282,0.618,0.812,0.643,0.658
3,0.147,0.162,18.044,22.694,0.627,0.826,0.715,0.653
4,0.150,0.147,20.365,24.681,0.715,0.856,0.783,0.763
5,0.150,0.112,20.530,26.267,0.726,0.872,0.815,0.822
6,0.118,0.107,23.119,26.477,0.750,0.878,0.856,0.827
7,0.105,0.100,23.949,27.090,0.774,0.884,0.879,0.852
8,0.103,0.094,24.145,27.761,0.784,0.891,0.892,0.876
9,0.088,0.093,24.336,27.787,0.794,0.891,0.894,0.876
10,0.087,0.084,24.440,28.380,0.799,0.900,0.899,0.895
11,0.086,0.083,24.780,28.410,0.812,0.900,0.906,0.897
12,0.085,0.083,24.875,28.420,0.816,0.901,0.908,0.900
13,0.083,0.078,24.984,28.551,0.819,0.904,0.911,0.898
14,0.082,0.078,25.141,28.572,0.822,0.904,0.909,0.898
15,0.082,0.076,25.189,28.719,0.824,0.906,0.911,0.903
16,0.082,0.076,25.224,28.799,0.825,0.907,0.913,0.903
17,0.062,0.076,26.511,28.805,0.854,0.907,0.922,0.903
18,0.062,0.076,26.603,28.809,0.857,0.907,0.924,0.903
19,0.061,0.074,26.642,28.974,0.859,0.909,0.927,0.908
20,0.061,0.074,26.973,29.140,0.861,0.911,0.950,0.925
