,GMSD,PSNR,SSIM,VIF
0,0.308481519993,13.7441927301,0.590501542621,0.0017664614264
1,0.160226075126,19.243771204,0.700271545782,0.566770711513
2,0.147144179893,20.5561898871,0.767639368576,0.640354458838
3,0.124029627454,22.3785073928,0.809998777309,0.757888737933
4,0.106848741857,22.8027077713,0.830784585306,0.793317729192
5,0.0879075148007,24.3860876527,0.85724703683,0.838846565261
6,0.084278013598,25.0741689128,0.867519525625,0.866746360535
7,0.0763979876645,25.7097032949,0.884131914005,0.880096501611
8,0.0697371319271,25.9474395077,0.890362494893,0.886767460469
9,0.0660745420373,26.1834540243,0.894560598958,0.893300413608
10,0.0560152493082,26.7274062149,0.901186542897,0.907004477397
11,0.0544777157321,27.0783773868,0.910005772718,0.91337632134
12,0.0540506467591,27.1821427046,0.912751433213,0.91575550972
13,0.0504267580548,27.5240272174,0.918654089322,0.920681151482
14,0.0492745573972,27.6187632975,0.920956238298,0.922322692305
15,0.045860316462,28.3034365792,0.927316565713,0.93407237866
16,0.0443432281701,28.1314261486,0.927004573571,0.930880090576
17,0.0406435105783,28.6439930104,0.932347719902,0.937617982581
18,0.0406618730997,28.773288614,0.934057376292,0.939727492146
19,0.0371294654282,29.0605414186,0.937826406074,0.942666655023
