NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.161,0.161,24.658,24.658,0.887,0.887,0.145,0.145
2,0.127,0.127,27.641,27.641,0.900,0.900,0.469,0.469
3,0.122,0.122,28.344,28.344,0.897,0.897,0.568,0.568
4,0.083,0.083,29.064,29.064,0.904,0.904,0.628,0.628
5,0.083,0.079,29.224,29.314,0.906,0.910,0.637,0.654
6,0.083,0.078,29.320,29.417,0.906,0.912,0.642,0.655
7,0.079,0.078,29.586,29.456,0.911,0.912,0.668,0.664
8,0.074,0.078,30.114,29.473,0.912,0.913,0.693,0.666
9,0.073,0.078,30.179,29.650,0.911,0.914,0.699,0.674
10,0.072,0.068,30.309,30.067,0.914,0.919,0.706,0.700
11,0.069,0.066,30.416,30.279,0.917,0.924,0.712,0.711
12,0.068,0.065,30.550,30.588,0.919,0.929,0.712,0.727
13,0.068,0.065,30.584,30.599,0.920,0.929,0.719,0.727
14,0.068,0.064,30.634,30.663,0.921,0.929,0.728,0.731
15,0.068,0.064,30.667,30.667,0.922,0.929,0.729,0.733
16,0.068,0.047,30.691,32.506,0.922,0.941,0.731,0.798
17,0.064,0.047,30.918,32.654,0.925,0.943,0.747,0.806
18,0.061,0.044,31.200,32.800,0.928,0.943,0.761,0.809
19,0.060,0.044,31.261,32.805,0.929,0.943,0.765,0.809
20,0.060,0.042,31.274,32.965,0.929,0.944,0.765,0.808
