NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.112,0.112,25.030,25.030,0.915,0.915,0.451,0.451
2,0.086,0.086,28.869,28.869,0.921,0.921,0.731,0.731
3,0.083,0.083,29.346,29.346,0.916,0.916,0.731,0.731
4,0.078,0.078,29.631,29.631,0.919,0.919,0.738,0.738
5,0.069,0.069,29.750,29.750,0.921,0.921,0.744,0.744
6,0.064,0.062,29.895,30.102,0.921,0.922,0.756,0.758
7,0.064,0.062,29.956,30.816,0.922,0.931,0.756,0.805
8,0.057,0.057,30.326,31.002,0.924,0.932,0.770,0.816
9,0.056,0.051,31.082,31.455,0.933,0.937,0.817,0.830
10,0.056,0.049,31.165,31.679,0.935,0.938,0.815,0.835
11,0.056,0.046,31.232,32.433,0.935,0.945,0.815,0.859
12,0.056,0.046,31.248,32.509,0.936,0.946,0.817,0.865
13,0.056,0.040,31.272,32.864,0.937,0.947,0.808,0.873
14,0.056,0.039,31.306,33.148,0.937,0.951,0.812,0.870
15,0.053,0.039,31.462,33.210,0.939,0.952,0.817,0.862
16,0.052,0.033,31.522,33.724,0.940,0.955,0.818,0.869
17,0.050,0.031,31.751,34.045,0.940,0.957,0.823,0.874
18,0.048,0.027,32.149,34.226,0.945,0.958,0.827,0.877
19,0.048,0.026,32.174,34.553,0.945,0.960,0.828,0.889
20,0.048,0.026,32.180,34.722,0.945,0.961,0.828,0.899
