NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.145,0.145,19.770,19.770,0.801,0.801,0.126,0.126
2,0.146,0.227,20.598,23.407,0.796,0.808,0.172,0.566
3,0.159,0.150,22.315,24.355,0.793,0.807,0.439,0.605
4,0.157,0.135,23.796,24.713,0.798,0.820,0.542,0.618
5,0.155,0.123,24.330,25.207,0.816,0.830,0.597,0.651
6,0.116,0.113,24.865,25.815,0.827,0.844,0.655,0.682
7,0.112,0.108,25.134,26.230,0.839,0.852,0.668,0.704
8,0.111,0.082,25.225,26.667,0.843,0.865,0.679,0.742
9,0.095,0.079,26.056,27.389,0.849,0.870,0.710,0.756
10,0.094,0.077,26.090,27.563,0.850,0.871,0.713,0.753
11,0.094,0.068,26.232,27.914,0.852,0.878,0.719,0.770
12,0.092,0.066,26.696,27.977,0.858,0.879,0.744,0.773
13,0.092,0.063,26.801,28.932,0.861,0.887,0.750,0.825
14,0.091,0.061,26.861,29.151,0.862,0.889,0.735,0.833
15,0.082,0.058,27.199,29.452,0.868,0.893,0.751,0.847
16,0.081,0.058,27.267,29.485,0.869,0.894,0.754,0.848
17,0.076,0.057,27.719,29.744,0.876,0.897,0.772,0.856
18,0.075,0.057,27.875,29.807,0.879,0.899,0.781,0.860
19,0.074,0.055,28.001,29.918,0.881,0.901,0.787,0.865
20,0.073,0.047,28.203,30.154,0.885,0.904,0.799,0.869
