NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.068,0.068,21.642,21.642,0.878,0.878,0.716,0.716
2,0.052,0.052,25.034,25.034,0.929,0.929,0.891,0.891
3,0.058,0.058,25.830,25.830,0.921,0.921,0.913,0.913
4,0.095,0.095,26.848,26.848,0.920,0.920,0.936,0.936
5,0.090,0.082,28.918,29.159,0.936,0.933,0.961,0.964
6,0.050,0.043,30.553,30.716,0.943,0.942,0.978,0.979
7,0.043,0.038,32.199,31.162,0.954,0.946,0.976,0.984
8,0.042,0.028,32.324,33.120,0.955,0.958,0.974,0.982
9,0.042,0.028,32.372,33.205,0.955,0.958,0.973,0.981
10,0.042,0.026,32.372,33.355,0.955,0.959,0.974,0.982
11,0.028,0.026,33.213,33.381,0.958,0.959,0.981,0.982
12,0.028,0.026,33.238,33.440,0.958,0.959,0.981,0.981
13,0.028,0.026,33.263,33.440,0.959,0.959,0.980,0.982
14,0.028,0.026,33.288,33.485,0.959,0.959,0.980,0.983
15,0.028,0.026,33.316,33.509,0.959,0.960,0.981,0.983
16,0.028,0.024,33.440,33.635,0.959,0.962,0.981,0.986
17,0.027,0.020,33.542,36.711,0.960,0.977,0.983,0.995
18,0.028,0.020,33.527,36.824,0.960,0.978,0.984,0.995
19,0.028,0.018,33.577,37.083,0.960,0.979,0.988,1.000
20,0.028,0.018,33.552,37.150,0.960,0.979,0.986,1.000
