NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.222,0.222,20.060,20.060,0.802,0.802,0.028,0.028
2,0.269,0.141,21.661,22.306,0.793,0.820,0.110,0.304
3,0.128,0.127,23.848,23.603,0.823,0.827,0.330,0.363
4,0.121,0.126,24.129,24.406,0.821,0.824,0.349,0.412
5,0.108,0.097,25.300,26.324,0.836,0.841,0.485,0.597
6,0.105,0.094,25.597,26.697,0.846,0.852,0.510,0.620
7,0.095,0.091,25.742,27.194,0.849,0.869,0.536,0.653
8,0.093,0.088,25.793,27.325,0.850,0.869,0.543,0.666
9,0.092,0.087,25.921,27.518,0.853,0.874,0.552,0.683
10,0.089,0.087,26.352,27.571,0.851,0.873,0.588,0.687
11,0.090,0.085,26.490,27.689,0.853,0.874,0.599,0.696
12,0.090,0.081,26.694,28.021,0.854,0.875,0.612,0.707
13,0.087,0.081,26.982,28.202,0.856,0.878,0.635,0.711
14,0.086,0.079,27.016,28.516,0.857,0.880,0.635,0.735
15,0.078,0.077,27.334,28.698,0.862,0.881,0.661,0.740
16,0.077,0.076,27.397,28.765,0.863,0.883,0.665,0.743
17,0.073,0.076,27.887,28.839,0.869,0.884,0.688,0.746
18,0.070,0.062,28.022,29.286,0.870,0.887,0.699,0.772
19,0.069,0.059,28.114,29.423,0.872,0.890,0.705,0.779
20,0.063,0.057,28.688,29.648,0.879,0.895,0.738,0.784
