NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.178,0.178,15.324,15.324,0.807,0.807,0.204,0.204
2,0.318,0.318,19.317,19.317,0.820,0.820,0.643,0.643
3,0.100,0.100,24.916,24.916,0.895,0.895,0.857,0.857
4,0.091,0.091,25.960,25.960,0.903,0.903,0.890,0.890
5,0.083,0.070,26.354,27.521,0.908,0.918,0.891,0.912
6,0.086,0.070,26.774,27.706,0.915,0.918,0.900,0.915
7,0.086,0.058,26.875,29.191,0.918,0.928,0.901,0.935
8,0.082,0.053,26.967,29.666,0.921,0.933,0.903,0.943
9,0.072,0.053,27.985,29.761,0.930,0.934,0.918,0.944
10,0.070,0.050,28.304,30.032,0.933,0.939,0.924,0.946
11,0.065,0.046,28.696,30.442,0.937,0.943,0.929,0.949
12,0.065,0.042,28.730,30.730,0.939,0.947,0.929,0.948
13,0.061,0.041,29.154,30.946,0.943,0.949,0.937,0.951
14,0.050,0.041,30.176,31.010,0.948,0.950,0.948,0.953
15,0.047,0.039,30.470,31.133,0.950,0.953,0.951,0.954
16,0.043,0.038,30.719,31.401,0.951,0.954,0.953,0.957
17,0.041,0.036,30.952,31.495,0.953,0.955,0.950,0.957
18,0.037,0.033,31.465,31.937,0.957,0.958,0.953,0.961
19,0.037,0.033,31.478,31.965,0.957,0.959,0.953,0.962
20,0.036,0.033,31.533,31.986,0.958,0.959,0.954,0.962
