NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.233,0.233,19.060,19.060,0.711,0.711,0.013,0.013
2,0.281,0.135,19.720,23.104,0.735,0.831,0.053,0.430
3,0.159,0.127,21.982,23.523,0.790,0.836,0.275,0.464
4,0.126,0.121,24.049,23.934,0.847,0.849,0.495,0.505
5,0.122,0.112,24.141,24.858,0.852,0.859,0.501,0.580
6,0.122,0.101,24.178,25.436,0.854,0.872,0.508,0.629
7,0.119,0.076,24.220,26.745,0.856,0.891,0.512,0.731
8,0.100,0.064,25.464,28.076,0.877,0.909,0.632,0.798
9,0.099,0.063,25.492,28.118,0.879,0.910,0.629,0.799
10,0.098,0.061,25.630,28.209,0.886,0.912,0.653,0.801
11,0.097,0.061,25.660,28.290,0.889,0.916,0.656,0.805
12,0.097,0.059,25.666,28.381,0.889,0.917,0.654,0.807
13,0.094,0.059,25.746,28.405,0.891,0.918,0.656,0.810
14,0.091,0.058,25.853,28.474,0.896,0.920,0.662,0.814
15,0.080,0.055,26.239,28.790,0.902,0.925,0.692,0.829
16,0.079,0.051,26.379,28.886,0.902,0.929,0.698,0.822
17,0.078,0.049,26.391,29.104,0.902,0.930,0.699,0.823
18,0.079,0.049,26.404,29.111,0.903,0.930,0.699,0.824
19,0.076,0.049,26.595,29.124,0.905,0.931,0.710,0.824
20,0.076,0.044,26.608,29.590,0.906,0.934,0.711,0.842
