NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.153,0.153,19.174,19.174,0.784,0.784,0.194,0.194
2,0.153,0.187,19.358,22.919,0.774,0.841,0.206,0.595
3,0.156,0.159,19.612,23.336,0.772,0.829,0.242,0.602
4,0.160,0.143,20.396,24.034,0.772,0.847,0.353,0.654
5,0.171,0.101,22.519,24.845,0.801,0.859,0.545,0.697
6,0.160,0.100,23.556,24.901,0.829,0.860,0.618,0.700
7,0.128,0.099,23.915,24.987,0.830,0.865,0.634,0.702
8,0.118,0.093,24.584,25.223,0.843,0.869,0.676,0.715
9,0.117,0.093,24.762,25.467,0.846,0.872,0.696,0.745
10,0.094,0.090,25.493,25.582,0.857,0.871,0.730,0.750
11,0.091,0.075,25.755,25.994,0.862,0.876,0.740,0.767
12,0.082,0.071,26.135,26.120,0.868,0.877,0.759,0.771
13,0.082,0.069,26.189,26.263,0.870,0.878,0.760,0.778
14,0.081,0.067,26.283,26.365,0.873,0.880,0.765,0.783
15,0.081,0.064,26.310,26.529,0.874,0.883,0.765,0.790
16,0.080,0.063,26.380,27.014,0.877,0.885,0.769,0.809
17,0.078,0.060,26.453,27.214,0.879,0.888,0.772,0.815
18,0.075,0.060,26.630,27.231,0.882,0.888,0.780,0.816
19,0.071,0.059,26.913,27.312,0.886,0.889,0.791,0.819
20,0.068,0.058,27.047,27.329,0.888,0.890,0.797,0.819
