NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.133,0.133,19.402,19.402,0.886,0.886,0.201,0.201
2,0.249,0.249,22.217,22.217,0.885,0.885,0.573,0.573
3,0.234,0.109,22.526,24.906,0.878,0.908,0.579,0.735
4,0.209,0.113,22.731,25.162,0.881,0.899,0.597,0.746
5,0.209,0.113,22.784,25.532,0.883,0.898,0.595,0.757
6,0.203,0.100,22.829,26.473,0.884,0.905,0.597,0.797
7,0.148,0.071,23.816,28.497,0.888,0.919,0.656,0.874
8,0.131,0.071,24.469,28.615,0.896,0.920,0.697,0.878
9,0.116,0.068,25.002,28.820,0.904,0.923,0.724,0.876
10,0.104,0.066,26.079,28.910,0.910,0.923,0.773,0.876
11,0.090,0.061,27.037,29.154,0.916,0.925,0.808,0.880
12,0.082,0.059,27.533,29.204,0.919,0.926,0.825,0.881
13,0.082,0.058,27.547,29.405,0.919,0.927,0.825,0.885
14,0.071,0.053,28.483,30.004,0.926,0.930,0.860,0.904
15,0.071,0.052,28.502,30.179,0.926,0.932,0.861,0.908
16,0.069,0.051,28.559,30.213,0.926,0.933,0.863,0.908
17,0.067,0.051,28.746,30.238,0.926,0.933,0.869,0.907
18,0.067,0.049,28.787,30.315,0.927,0.934,0.854,0.908
19,0.067,0.049,28.791,30.325,0.927,0.934,0.854,0.909
20,0.066,0.049,28.897,30.345,0.928,0.934,0.847,0.907
