NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.265,0.265,17.541,17.541,0.873,0.873,0.016,0.016
2,0.28,0.148,17.654,20.472,0.865,0.865,0.028,0.337
3,0.211,0.12,19.696,24.589,0.836,0.913,0.248,0.691
4,0.21,0.126,19.883,25.089,0.839,0.906,0.274,0.713
5,0.208,0.135,19.898,25.545,0.834,0.9,0.277,0.741
6,0.173,0.123,21.156,26.306,0.831,0.91,0.388,0.753
7,0.177,0.116,21.907,26.524,0.852,0.905,0.489,0.772
8,0.159,0.116,22.683,27.178,0.871,0.904,0.572,0.789
9,0.156,0.085,23.012,28.198,0.869,0.915,0.603,0.825
10,0.15,0.08,23.179,28.561,0.871,0.916,0.625,0.837
11,0.15,0.071,23.205,28.965,0.873,0.925,0.629,0.85
12,0.07,0.05,27.525,29.783,0.914,0.934,0.813,0.878
13,0.061,0.048,28.16,29.847,0.918,0.935,0.834,0.88
14,0.055,0.046,28.708,30.004,0.926,0.937,0.854,0.894
15,0.052,0.046,29.008,30.347,0.929,0.938,0.863,0.903
16,0.051,0.046,29.218,30.384,0.93,0.938,0.868,0.904
17,0.05,0.041,29.25,30.65,0.93,0.94,0.869,0.908
18,0.049,0.041,29.479,31.001,0.933,0.943,0.876,0.916
19,0.049,0.041,29.489,31.089,0.933,0.943,0.876,0.916
20,0.048,0.041,29.638,31.093,0.934,0.944,0.88,0.916
