NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.190,0.190,20.097,20.097,0.769,0.769,0.053,0.053
2,0.163,0.163,23.355,23.355,0.846,0.846,0.468,0.468
3,0.156,0.156,24.132,24.132,0.833,0.833,0.500,0.500
4,0.153,0.121,24.404,25.112,0.848,0.844,0.503,0.609
5,0.137,0.116,24.730,25.457,0.846,0.861,0.535,0.613
6,0.135,0.108,24.928,25.787,0.852,0.871,0.532,0.643
7,0.115,0.107,25.646,25.860,0.861,0.870,0.594,0.648
8,0.115,0.105,25.761,25.988,0.862,0.874,0.609,0.660
9,0.106,0.093,26.117,26.458,0.872,0.879,0.639,0.703
10,0.096,0.087,26.439,26.756,0.879,0.884,0.670,0.698
11,0.096,0.085,26.474,27.280,0.880,0.886,0.674,0.731
12,0.093,0.083,26.590,27.352,0.882,0.887,0.684,0.740
13,0.093,0.083,26.611,27.383,0.883,0.888,0.686,0.742
14,0.092,0.082,26.674,27.446,0.884,0.889,0.691,0.746
15,0.091,0.074,26.700,28.703,0.885,0.907,0.692,0.832
16,0.090,0.073,26.821,28.733,0.889,0.907,0.693,0.832
17,0.089,0.067,26.881,29.476,0.891,0.916,0.698,0.850
18,0.087,0.056,26.984,29.894,0.893,0.917,0.708,0.870
19,0.086,0.055,27.057,29.958,0.894,0.917,0.709,0.872
20,0.086,0.055,27.093,30.047,0.894,0.918,0.711,0.864
