NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.212,0.212,21.695,21.695,0.816,0.816,0.026,0.026
2,0.121,0.121,24.297,24.297,0.852,0.852,0.350,0.350
3,0.070,0.070,27.173,27.173,0.894,0.894,0.604,0.604
4,0.066,0.049,27.976,29.699,0.907,0.923,0.619,0.785
5,0.052,0.044,29.428,30.840,0.923,0.930,0.715,0.828
6,0.052,0.042,29.465,31.221,0.923,0.932,0.718,0.831
7,0.052,0.031,29.539,32.535,0.924,0.948,0.720,0.865
8,0.051,0.030,29.593,32.719,0.925,0.950,0.724,0.862
9,0.048,0.029,29.855,32.925,0.930,0.952,0.725,0.862
10,0.048,0.027,29.876,33.009,0.931,0.953,0.728,0.865
11,0.043,0.026,30.424,33.448,0.936,0.955,0.763,0.887
12,0.039,0.026,31.070,33.568,0.941,0.957,0.793,0.893
13,0.038,0.025,31.118,33.657,0.942,0.958,0.794,0.894
14,0.039,0.024,31.117,33.741,0.943,0.959,0.785,0.895
15,0.038,0.024,31.193,33.798,0.944,0.960,0.799,0.900
16,0.037,0.021,31.526,34.442,0.946,0.965,0.815,0.916
17,0.035,0.021,31.959,34.462,0.948,0.965,0.835,0.916
18,0.034,0.021,32.217,34.516,0.949,0.966,0.845,0.907
19,0.030,0.020,32.780,34.623,0.954,0.967,0.858,0.907
20,0.029,0.020,33.107,34.699,0.955,0.967,0.870,0.906
