NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.319,0.319,16.074,16.074,0.749,0.749,0.001,0.001
2,0.304,0.174,16.420,19.541,0.732,0.805,0.005,0.475
3,0.272,0.162,16.612,20.750,0.721,0.799,0.019,0.532
4,0.228,0.151,17.736,21.308,0.745,0.775,0.146,0.554
5,0.196,0.150,19.110,21.567,0.751,0.773,0.287,0.579
6,0.158,0.127,20.396,22.854,0.752,0.836,0.418,0.646
7,0.152,0.127,21.373,23.035,0.767,0.836,0.527,0.664
8,0.152,0.127,21.528,23.712,0.775,0.841,0.540,0.713
9,0.152,0.120,21.681,24.169,0.778,0.839,0.560,0.731
10,0.152,0.113,21.717,24.402,0.778,0.847,0.563,0.744
11,0.152,0.113,21.717,24.451,0.778,0.846,0.562,0.749
12,0.150,0.111,21.949,24.690,0.793,0.850,0.590,0.759
13,0.144,0.100,22.266,25.422,0.816,0.863,0.613,0.772
14,0.145,0.100,22.318,25.502,0.817,0.866,0.617,0.777
15,0.145,0.093,22.321,26.456,0.818,0.883,0.617,0.824
16,0.145,0.088,22.352,26.698,0.818,0.888,0.619,0.833
17,0.145,0.069,22.479,27.557,0.822,0.902,0.630,0.870
18,0.145,0.069,22.551,27.670,0.824,0.902,0.636,0.873
19,0.135,0.068,23.520,27.963,0.826,0.905,0.673,0.882
20,0.135,0.068,23.517,28.065,0.826,0.906,0.673,0.884
