NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.203,0.203,18.868,18.868,0.813,0.813,0.038,0.038
2,0.111,0.111,24.421,24.421,0.887,0.887,0.640,0.640
3,0.105,0.081,25.073,27.057,0.885,0.909,0.655,0.771
4,0.093,0.072,25.932,28.720,0.898,0.932,0.709,0.849
5,0.084,0.065,27.302,28.920,0.903,0.928,0.769,0.856
6,0.085,0.064,27.518,29.058,0.904,0.928,0.775,0.860
7,0.076,0.061,28.580,29.662,0.917,0.937,0.824,0.901
8,0.073,0.060,29.401,29.729,0.928,0.938,0.857,0.905
9,0.072,0.060,29.468,30.099,0.928,0.939,0.859,0.900
10,0.067,0.060,29.582,30.178,0.929,0.940,0.860,0.892
11,0.067,0.057,29.621,30.406,0.930,0.941,0.866,0.895
12,0.066,0.054,29.676,30.511,0.930,0.941,0.867,0.895
13,0.066,0.054,29.715,30.825,0.931,0.944,0.870,0.907
14,0.065,0.053,29.753,30.882,0.931,0.944,0.873,0.908
15,0.055,0.051,30.411,31.232,0.937,0.947,0.891,0.918
16,0.046,0.044,31.020,31.640,0.941,0.950,0.905,0.928
17,0.045,0.041,31.194,32.059,0.942,0.953,0.908,0.938
18,0.045,0.037,31.224,32.487,0.943,0.956,0.920,0.945
19,0.045,0.035,31.245,32.696,0.943,0.957,0.920,0.949
20,0.044,0.034,31.447,32.732,0.945,0.958,0.925,0.949
