NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.184,0.184,17.959,17.959,0.732,0.732,0.080,0.080
2,0.198,0.202,18.644,20.029,0.738,0.748,0.116,0.350
3,0.179,0.164,19.436,20.483,0.752,0.740,0.255,0.400
4,0.153,0.164,22.265,21.523,0.791,0.758,0.535,0.456
5,0.146,0.157,22.425,21.928,0.795,0.761,0.548,0.491
6,0.143,0.150,23.089,22.540,0.801,0.781,0.595,0.545
7,0.142,0.149,23.225,22.729,0.805,0.784,0.607,0.560
8,0.138,0.142,23.372,23.231,0.809,0.790,0.616,0.597
9,0.138,0.135,23.433,23.593,0.811,0.794,0.623,0.623
10,0.132,0.130,23.667,23.723,0.814,0.795,0.639,0.633
11,0.128,0.131,23.779,24.068,0.821,0.801,0.647,0.652
12,0.125,0.125,23.888,24.185,0.821,0.804,0.663,0.655
13,0.123,0.124,24.101,24.238,0.827,0.805,0.682,0.662
14,0.115,0.120,24.554,24.355,0.829,0.808,0.706,0.675
15,0.110,0.107,24.678,24.869,0.837,0.826,0.714,0.716
16,0.104,0.107,25.022,24.914,0.842,0.828,0.736,0.721
17,0.095,0.101,25.398,25.205,0.846,0.839,0.755,0.742
18,0.094,0.098,25.593,25.362,0.849,0.841,0.764,0.750
19,0.092,0.097,25.677,25.503,0.852,0.844,0.768,0.757
20,0.090,0.093,25.827,25.798,0.855,0.846,0.772,0.773
