NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.242,0.242,18.703,18.703,0.676,0.676,0.008,0.008
2,0.249,0.137,19.605,22.116,0.702,0.818,0.044,0.370
3,0.187,0.139,20.882,22.673,0.767,0.811,0.188,0.404
4,0.126,0.129,23.596,23.204,0.836,0.823,0.483,0.429
5,0.121,0.106,23.866,24.119,0.841,0.844,0.506,0.523
6,0.119,0.091,23.951,24.959,0.848,0.860,0.508,0.603
7,0.118,0.089,24.016,25.152,0.850,0.859,0.509,0.612
8,0.111,0.087,24.448,25.312,0.859,0.861,0.552,0.624
9,0.105,0.085,24.933,25.476,0.870,0.871,0.594,0.629
10,0.104,0.083,24.985,25.721,0.873,0.874,0.598,0.649
11,0.104,0.081,25.015,25.896,0.874,0.877,0.599,0.662
12,0.077,0.074,26.343,26.461,0.893,0.884,0.691,0.696
13,0.076,0.063,26.405,27.132,0.895,0.895,0.695,0.732
14,0.073,0.057,26.705,27.920,0.898,0.903,0.713,0.761
15,0.073,0.055,26.720,28.064,0.899,0.906,0.714,0.766
16,0.071,0.055,26.819,28.156,0.902,0.907,0.722,0.772
17,0.059,0.053,27.508,28.429,0.912,0.911,0.759,0.791
18,0.058,0.053,27.532,28.586,0.913,0.912,0.760,0.797
19,0.058,0.050,27.563,29.013,0.915,0.915,0.762,0.809
20,0.057,0.049,27.608,29.041,0.916,0.916,0.764,0.810
