NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.265,0.265,15.214,15.214,0.821,0.821,0.016,0.016
2,0.126,0.126,21.729,21.729,0.881,0.881,0.644,0.644
3,0.083,0.083,26.541,26.541,0.918,0.918,0.858,0.858
4,0.047,0.047,28.322,28.322,0.938,0.938,0.903,0.903
5,0.046,0.042,28.707,29.651,0.939,0.948,0.899,0.924
6,0.044,0.038,29.085,30.986,0.942,0.950,0.906,0.946
7,0.044,0.029,29.126,32.018,0.942,0.955,0.909,0.957
8,0.043,0.028,29.253,32.143,0.943,0.955,0.911,0.959
9,0.040,0.027,29.499,32.227,0.947,0.955,0.916,0.961
10,0.040,0.026,29.534,32.294,0.947,0.956,0.917,0.961
11,0.038,0.026,30.077,32.325,0.952,0.956,0.928,0.963
12,0.033,0.026,31.576,32.454,0.953,0.957,0.949,0.958
13,0.033,0.026,31.595,32.522,0.954,0.958,0.948,0.959
14,0.033,0.026,31.785,32.584,0.955,0.958,0.950,0.959
15,0.032,0.025,31.857,32.604,0.956,0.958,0.949,0.960
16,0.031,0.025,32.174,32.835,0.958,0.960,0.954,0.965
17,0.028,0.025,32.754,32.914,0.961,0.961,0.959,0.966
18,0.026,0.024,32.982,32.986,0.962,0.962,0.961,0.972
19,0.025,0.023,33.142,33.146,0.963,0.962,0.962,0.975
20,0.025,0.022,33.199,33.449,0.964,0.965,0.960,0.977
