NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.128,0.128,19.810,19.810,0.878,0.878,0.569,0.569
2,0.139,0.139,22.937,22.937,0.901,0.901,0.759,0.759
3,0.153,0.153,25.864,25.864,0.925,0.925,0.880,0.880
4,0.069,0.069,29.589,29.589,0.950,0.950,0.956,0.956
5,0.042,0.042,31.484,31.484,0.955,0.955,0.979,0.979
6,0.037,0.036,32.354,32.533,0.958,0.958,0.987,0.988
7,0.035,0.035,32.905,32.998,0.959,0.959,0.991,0.992
8,0.032,0.032,33.046,33.142,0.960,0.961,0.991,0.992
9,0.031,0.031,33.141,33.239,0.962,0.962,1.006,1.007
10,0.031,0.026,33.197,33.908,0.962,0.964,1.006,1.011
11,0.031,0.025,33.222,33.938,0.963,0.965,1.006,1.010
12,0.031,0.025,33.351,33.957,0.963,0.965,1.006,1.011
13,0.031,0.025,33.430,33.964,0.963,0.965,1.004,1.011
14,0.031,0.024,33.447,34.286,0.963,0.966,1.005,1.013
15,0.028,0.023,33.665,34.460,0.965,0.967,1.004,1.015
16,0.028,0.023,33.678,34.632,0.965,0.968,1.004,1.014
17,0.025,0.023,33.897,34.742,0.968,0.968,1.000,1.013
18,0.025,0.023,33.861,34.867,0.968,0.969,1.001,1.013
19,0.025,0.021,34.160,35.023,0.968,0.971,1.000,1.013
20,0.025,0.021,34.133,35.387,0.968,0.972,1.002,1.010
