NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.236,0.236,15.754,15.754,0.624,0.624,0.023,0.023
2,0.269,0.269,17.141,17.141,0.654,0.654,0.131,0.131
3,0.282,0.163,17.440,19.204,0.651,0.729,0.185,0.342
4,0.248,0.190,17.725,19.696,0.668,0.720,0.203,0.408
5,0.234,0.182,18.017,19.772,0.692,0.724,0.222,0.415
6,0.225,0.169,18.403,20.076,0.700,0.733,0.264,0.441
7,0.178,0.168,19.789,20.207,0.744,0.741,0.411,0.451
8,0.170,0.168,20.396,20.280,0.758,0.749,0.478,0.459
9,0.169,0.163,20.481,20.652,0.762,0.757,0.486,0.487
10,0.169,0.122,20.598,21.920,0.771,0.778,0.487,0.590
11,0.133,0.118,21.660,22.202,0.790,0.784,0.576,0.609
12,0.128,0.112,21.798,22.660,0.795,0.791,0.588,0.641
13,0.127,0.112,22.053,22.890,0.802,0.792,0.604,0.654
14,0.126,0.106,22.107,23.559,0.805,0.804,0.612,0.695
15,0.109,0.106,22.687,23.657,0.810,0.808,0.644,0.698
16,0.109,0.104,22.719,23.795,0.813,0.818,0.646,0.710
17,0.107,0.103,22.770,23.882,0.816,0.822,0.649,0.715
18,0.104,0.102,22.990,23.927,0.820,0.824,0.662,0.717
19,0.104,0.096,23.033,23.999,0.822,0.825,0.665,0.721
20,0.103,0.096,23.089,24.051,0.824,0.827,0.666,0.725
