NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.250,0.250,15.996,15.996,0.864,0.864,0.018,0.018
2,0.083,0.083,27.008,27.008,0.962,0.962,0.890,0.890
3,0.059,0.059,28.422,28.422,0.962,0.962,0.911,0.911
4,0.050,0.050,30.328,30.328,0.962,0.962,0.913,0.913
5,0.046,0.046,31.582,31.582,0.967,0.967,0.923,0.923
6,0.045,0.045,32.105,32.105,0.970,0.970,0.927,0.927
7,0.042,0.042,32.946,32.946,0.973,0.973,0.933,0.933
8,0.035,0.042,33.153,33.230,0.974,0.974,0.935,0.939
9,0.035,0.041,33.458,33.358,0.975,0.975,0.942,0.943
10,0.035,0.041,33.533,33.711,0.976,0.976,0.943,0.946
11,0.035,0.041,33.563,33.782,0.976,0.976,0.944,0.946
12,0.035,0.025,33.661,35.243,0.976,0.978,0.946,0.954
13,0.035,0.023,33.728,35.453,0.976,0.980,0.947,0.957
14,0.034,0.023,33.906,35.501,0.977,0.980,0.946,0.958
15,0.033,0.022,34.310,35.815,0.978,0.981,0.949,0.960
16,0.033,0.022,34.468,35.848,0.979,0.981,0.952,0.960
17,0.032,0.022,34.958,35.883,0.979,0.981,0.956,0.960
18,0.026,0.022,35.660,36.242,0.980,0.982,0.958,0.962
19,0.026,0.016,35.682,36.728,0.980,0.983,0.958,0.963
20,0.025,0.016,35.752,36.798,0.980,0.983,0.957,0.964
