NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.217,0.217,15.217,15.217,0.709,0.709,0.034,0.034
2,0.111,0.111,22.305,22.305,0.820,0.820,0.734,0.734
3,0.086,0.073,25.402,26.024,0.878,0.886,0.811,0.840
4,0.081,0.067,26.001,26.529,0.888,0.899,0.838,0.849
5,0.082,0.063,26.128,27.424,0.890,0.910,0.845,0.875
6,0.075,0.060,26.284,27.687,0.895,0.914,0.861,0.880
7,0.071,0.047,26.423,28.999,0.901,0.923,0.867,0.910
8,0.071,0.044,26.445,29.327,0.902,0.926,0.867,0.917
9,0.070,0.044,26.557,29.410,0.905,0.927,0.871,0.918
10,0.070,0.041,26.573,29.987,0.905,0.930,0.872,0.927
11,0.058,0.038,27.366,30.225,0.915,0.932,0.888,0.931
12,0.048,0.036,28.617,30.400,0.924,0.934,0.915,0.932
13,0.047,0.036,28.719,30.468,0.925,0.935,0.916,0.932
14,0.046,0.035,28.771,30.578,0.926,0.936,0.915,0.935
15,0.046,0.032,28.833,30.703,0.927,0.939,0.916,0.950
16,0.041,0.030,29.420,31.052,0.929,0.941,0.926,0.954
17,0.038,0.030,29.941,31.303,0.933,0.942,0.935,0.958
18,0.038,0.029,30.054,31.350,0.935,0.943,0.937,0.956
19,0.037,0.029,30.083,31.419,0.936,0.944,0.939,0.956
20,0.037,0.026,30.142,31.708,0.937,0.948,0.940,0.952
