NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.194,0.194,18.736,18.736,0.697,0.697,0.047,0.047
2,0.255,0.154,19.257,22.092,0.707,0.808,0.105,0.390
3,0.132,0.149,21.863,22.809,0.788,0.809,0.348,0.457
4,0.122,0.123,23.546,23.510,0.830,0.827,0.542,0.517
5,0.118,0.103,23.761,24.652,0.837,0.844,0.560,0.600
6,0.108,0.091,24.033,25.325,0.845,0.859,0.575,0.656
7,0.106,0.083,24.168,25.684,0.849,0.869,0.583,0.687
8,0.096,0.079,24.765,25.933,0.866,0.874,0.634,0.705
9,0.095,0.073,24.879,26.457,0.871,0.880,0.638,0.742
10,0.082,0.065,25.646,26.760,0.881,0.884,0.686,0.754
11,0.079,0.060,25.853,27.431,0.884,0.891,0.699,0.789
12,0.078,0.050,25.909,28.416,0.886,0.898,0.706,0.826
13,0.075,0.049,26.248,28.601,0.890,0.900,0.729,0.831
14,0.072,0.049,26.447,28.678,0.893,0.902,0.739,0.834
15,0.070,0.047,26.468,28.778,0.894,0.905,0.739,0.835
16,0.069,0.045,26.487,28.966,0.895,0.909,0.739,0.842
17,0.066,0.044,26.663,29.069,0.898,0.911,0.751,0.845
18,0.065,0.043,26.717,29.181,0.900,0.914,0.754,0.848
19,0.065,0.042,26.735,29.205,0.901,0.915,0.755,0.848
20,0.060,0.042,27.204,29.300,0.906,0.915,0.775,0.852
