NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.250,0.250,18.222,18.222,0.753,0.753,0.007,0.007
2,0.134,0.134,22.998,22.998,0.872,0.872,0.512,0.512
3,0.128,0.099,23.623,25.357,0.873,0.913,0.523,0.758
4,0.117,0.064,23.969,28.230,0.877,0.936,0.573,0.848
5,0.108,0.060,24.788,28.483,0.894,0.939,0.651,0.843
6,0.086,0.059,26.514,28.559,0.917,0.940,0.754,0.846
7,0.082,0.058,26.702,28.598,0.919,0.941,0.755,0.848
8,0.071,0.045,27.335,30.326,0.930,0.954,0.780,0.890
9,0.068,0.042,27.741,30.900,0.937,0.957,0.799,0.905
10,0.055,0.038,28.773,31.406,0.946,0.962,0.834,0.921
11,0.054,0.038,28.798,31.435,0.946,0.963,0.835,0.930
12,0.053,0.038,28.818,31.472,0.946,0.963,0.834,0.929
13,0.048,0.037,29.762,31.513,0.953,0.963,0.866,0.930
14,0.048,0.036,29.767,31.558,0.954,0.963,0.871,0.931
15,0.044,0.036,30.156,31.566,0.957,0.963,0.886,0.934
16,0.043,0.036,30.183,31.598,0.957,0.964,0.887,0.933
17,0.043,0.035,30.203,31.630,0.957,0.964,0.885,0.934
18,0.043,0.035,30.225,31.648,0.958,0.964,0.886,0.934
19,0.043,0.034,30.229,31.826,0.958,0.965,0.886,0.932
20,0.043,0.034,30.251,31.839,0.958,0.966,0.886,0.932
