NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.170,0.170,18.159,18.159,0.840,0.840,0.287,0.287
2,0.205,0.178,19.817,20.136,0.806,0.847,0.396,0.526
3,0.170,0.199,23.641,21.645,0.897,0.859,0.684,0.592
4,0.162,0.201,24.060,22.131,0.885,0.859,0.724,0.622
5,0.147,0.195,24.555,22.359,0.887,0.850,0.759,0.635
6,0.136,0.196,24.751,23.059,0.890,0.868,0.760,0.687
7,0.135,0.148,24.811,24.997,0.891,0.887,0.762,0.783
8,0.135,0.146,24.825,25.290,0.891,0.890,0.761,0.790
9,0.133,0.145,24.945,25.438,0.892,0.890,0.766,0.795
10,0.122,0.144,25.105,25.667,0.894,0.894,0.775,0.807
11,0.122,0.134,25.117,26.129,0.894,0.893,0.776,0.821
12,0.121,0.133,25.171,26.187,0.895,0.895,0.778,0.824
13,0.121,0.132,25.176,26.399,0.895,0.898,0.778,0.828
14,0.121,0.132,25.188,26.411,0.896,0.898,0.779,0.829
15,0.121,0.122,25.221,26.658,0.897,0.898,0.780,0.836
16,0.121,0.122,25.236,26.717,0.897,0.901,0.781,0.838
17,0.121,0.110,25.250,27.329,0.897,0.901,0.781,0.859
18,0.119,0.110,25.407,27.384,0.887,0.902,0.782,0.860
19,0.119,0.109,25.427,27.450,0.888,0.903,0.783,0.861
20,0.119,0.101,25.439,27.835,0.889,0.904,0.783,0.871
