NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.288,0.288,15.787,15.787,0.803,0.803,0.024,0.024
2,0.262,0.262,16.779,16.779,0.779,0.779,0.142,0.142
3,0.187,0.187,18.235,18.235,0.766,0.766,0.268,0.268
4,0.200,0.179,18.747,19.879,0.786,0.787,0.348,0.431
5,0.157,0.152,19.805,22.534,0.797,0.815,0.445,0.614
6,0.156,0.135,20.173,23.058,0.807,0.817,0.494,0.671
7,0.159,0.126,21.956,24.664,0.820,0.848,0.601,0.778
8,0.156,0.124,22.378,24.893,0.820,0.848,0.631,0.789
9,0.141,0.124,23.221,25.135,0.830,0.855,0.685,0.798
10,0.134,0.123,23.503,25.481,0.836,0.853,0.709,0.809
11,0.115,0.113,23.828,25.967,0.842,0.860,0.724,0.834
12,0.080,0.078,26.890,27.098,0.880,0.877,0.857,0.861
13,0.079,0.068,26.986,28.008,0.878,0.886,0.861,0.881
14,0.080,0.066,27.279,28.236,0.884,0.890,0.867,0.884
15,0.075,0.065,27.563,28.320,0.888,0.892,0.874,0.887
16,0.074,0.065,27.865,28.417,0.892,0.894,0.879,0.889
17,0.069,0.065,28.175,28.484,0.894,0.895,0.885,0.890
18,0.067,0.065,28.290,28.624,0.895,0.897,0.888,0.894
19,0.067,0.064,28.329,28.692,0.895,0.895,0.889,0.896
20,0.066,0.064,28.412,28.716,0.896,0.895,0.890,0.897
