NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.243,0.243,16.422,16.422,0.857,0.857,0.023,0.023
2,0.155,0.155,22.269,22.269,0.912,0.912,0.577,0.577
3,0.160,0.115,24.375,26.748,0.907,0.926,0.718,0.822
4,0.141,0.121,26.236,26.978,0.935,0.934,0.804,0.826
5,0.140,0.112,26.345,27.219,0.934,0.937,0.825,0.834
6,0.078,0.081,28.023,28.832,0.942,0.950,0.866,0.877
7,0.076,0.076,28.214,29.077,0.945,0.951,0.876,0.884
8,0.073,0.070,28.644,30.152,0.946,0.950,0.886,0.896
9,0.069,0.071,29.060,30.258,0.948,0.951,0.895,0.906
10,0.060,0.070,29.975,30.343,0.952,0.952,0.916,0.909
11,0.056,0.070,30.704,30.407,0.953,0.953,0.922,0.919
12,0.056,0.069,30.756,30.471,0.953,0.952,0.924,0.929
13,0.052,0.067,31.253,30.706,0.954,0.954,0.922,0.934
14,0.052,0.064,31.268,30.884,0.954,0.953,0.922,0.937
15,0.051,0.062,31.317,31.120,0.955,0.954,0.923,0.941
16,0.051,0.062,31.418,31.224,0.955,0.956,0.926,0.941
17,0.051,0.045,31.477,32.228,0.956,0.958,0.926,0.950
18,0.049,0.044,31.723,32.256,0.957,0.958,0.929,0.950
19,0.048,0.044,31.898,32.269,0.957,0.958,0.931,0.950
20,0.045,0.044,32.384,32.316,0.959,0.959,0.936,0.953
