NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.315,0.315,13.742,13.742,0.590,0.590,0.001,0.001
2,0.275,0.275,14.062,14.062,0.614,0.614,0.011,0.011
3,0.283,0.283,14.797,14.797,0.624,0.624,0.102,0.102
4,0.201,0.181,15.891,17.653,0.651,0.687,0.190,0.376
5,0.198,0.183,16.847,17.765,0.686,0.681,0.296,0.396
6,0.204,0.154,17.641,19.459,0.689,0.719,0.379,0.543
7,0.206,0.156,17.752,19.716,0.690,0.716,0.399,0.567
8,0.186,0.155,19.448,19.867,0.723,0.719,0.537,0.579
9,0.179,0.145,19.732,20.265,0.745,0.727,0.556,0.608
10,0.179,0.134,19.744,20.820,0.744,0.741,0.555,0.654
11,0.183,0.130,20.011,21.246,0.744,0.753,0.578,0.685
12,0.183,0.131,20.042,21.588,0.745,0.772,0.582,0.708
13,0.184,0.130,20.231,21.607,0.754,0.772,0.598,0.707
14,0.185,0.128,20.283,21.654,0.760,0.773,0.602,0.711
15,0.184,0.131,20.326,21.929,0.765,0.785,0.606,0.730
16,0.178,0.132,20.771,22.007,0.773,0.793,0.635,0.735
17,0.173,0.130,21.301,22.071,0.792,0.798,0.673,0.739
18,0.173,0.130,21.302,22.073,0.793,0.798,0.673,0.739
19,0.171,0.127,21.350,22.130,0.794,0.800,0.677,0.744
20,0.171,0.128,21.356,22.137,0.794,0.800,0.678,0.745
