NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.245,0.245,15.938,15.938,0.644,0.644,0.001,0.001
2,0.116,0.116,21.419,21.419,0.879,0.879,0.564,0.564
3,0.110,0.084,21.532,23.595,0.888,0.900,0.571,0.711
4,0.106,0.083,21.605,23.679,0.895,0.902,0.562,0.713
5,0.106,0.049,21.624,26.270,0.896,0.927,0.563,0.840
6,0.088,0.045,23.084,26.726,0.907,0.933,0.658,0.855
7,0.077,0.044,23.981,26.807,0.918,0.937,0.718,0.856
8,0.077,0.043,23.989,26.873,0.918,0.941,0.717,0.870
9,0.077,0.043,24.036,26.901,0.921,0.941,0.718,0.870
10,0.075,0.043,24.068,26.914,0.923,0.941,0.727,0.869
11,0.075,0.041,24.092,27.001,0.923,0.945,0.727,0.869
12,0.074,0.041,24.152,27.019,0.928,0.946,0.726,0.867
13,0.065,0.041,24.733,27.057,0.935,0.946,0.756,0.868
14,0.058,0.041,25.490,27.096,0.941,0.947,0.796,0.869
15,0.049,0.040,26.161,27.193,0.947,0.951,0.823,0.871
16,0.049,0.039,26.171,27.567,0.947,0.951,0.822,0.872
17,0.040,0.039,27.036,27.585,0.952,0.952,0.861,0.872
18,0.040,0.036,27.062,28.013,0.953,0.954,0.861,0.879
19,0.040,0.036,27.091,28.032,0.954,0.955,0.862,0.879
20,0.040,0.035,27.116,28.322,0.955,0.956,0.863,0.888
