NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.275,0.275,13.406,13.406,0.568,0.568,0.053,0.053
2,0.265,0.265,15.526,15.526,0.636,0.636,0.168,0.168
3,0.196,0.196,16.285,16.285,0.674,0.674,0.267,0.267
4,0.190,0.185,16.704,18.209,0.675,0.699,0.328,0.498
5,0.173,0.169,16.925,19.264,0.696,0.715,0.366,0.586
6,0.167,0.152,17.048,20.622,0.700,0.732,0.373,0.671
7,0.196,0.147,17.864,21.037,0.728,0.749,0.470,0.703
8,0.168,0.148,18.960,21.324,0.747,0.756,0.573,0.724
9,0.165,0.142,19.736,21.517,0.767,0.753,0.638,0.735
10,0.160,0.136,20.165,21.721,0.773,0.760,0.666,0.745
11,0.146,0.116,21.432,22.885,0.790,0.784,0.735,0.792
12,0.138,0.115,21.950,23.031,0.798,0.784,0.762,0.796
13,0.137,0.114,22.005,23.228,0.799,0.789,0.764,0.803
14,0.137,0.112,22.049,23.407,0.799,0.790,0.766,0.814
15,0.129,0.116,22.278,23.594,0.797,0.797,0.777,0.831
16,0.127,0.113,22.471,23.933,0.801,0.803,0.784,0.844
17,0.124,0.112,22.833,24.104,0.807,0.806,0.804,0.849
18,0.116,0.111,23.427,24.228,0.818,0.809,0.826,0.855
19,0.115,0.111,23.537,24.306,0.821,0.813,0.832,0.858
20,0.114,0.110,23.597,24.409,0.822,0.814,0.833,0.862
