NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.239,0.239,18.846,18.846,0.763,0.763,0.048,0.048
2,0.186,0.169,20.255,21.505,0.757,0.788,0.128,0.393
3,0.164,0.173,21.684,22.567,0.778,0.796,0.282,0.478
4,0.137,0.134,22.138,24.407,0.797,0.795,0.320,0.569
5,0.149,0.110,23.391,25.073,0.799,0.814,0.452,0.606
6,0.149,0.109,23.442,25.172,0.801,0.819,0.459,0.614
7,0.134,0.101,24.415,25.520,0.811,0.817,0.545,0.637
8,0.095,0.099,25.531,25.658,0.831,0.820,0.627,0.645
9,0.091,0.093,25.719,26.037,0.836,0.830,0.641,0.662
10,0.091,0.090,25.732,26.209,0.837,0.833,0.642,0.673
11,0.087,0.086,25.849,26.625,0.840,0.843,0.652,0.700
12,0.080,0.082,26.165,27.043,0.845,0.852,0.672,0.723
13,0.079,0.069,26.273,27.602,0.848,0.856,0.682,0.745
14,0.079,0.067,26.280,27.745,0.849,0.858,0.679,0.753
15,0.075,0.067,27.096,27.764,0.861,0.860,0.720,0.754
16,0.075,0.067,27.134,27.774,0.862,0.860,0.726,0.754
17,0.073,0.066,27.359,27.912,0.861,0.865,0.735,0.760
18,0.073,0.066,27.441,27.922,0.862,0.865,0.739,0.763
19,0.072,0.065,27.453,27.987,0.863,0.868,0.739,0.764
20,0.071,0.064,27.576,28.070,0.866,0.869,0.744,0.767
