NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.229,0.229,18.388,18.388,0.779,0.779,0.039,0.039
2,0.119,0.119,22.682,22.682,0.830,0.830,0.502,0.502
3,0.110,0.102,23.101,24.863,0.828,0.869,0.538,0.668
4,0.108,0.085,24.128,25.580,0.833,0.865,0.582,0.704
5,0.106,0.080,24.226,25.945,0.836,0.873,0.593,0.713
6,0.087,0.075,25.537,26.050,0.858,0.875,0.679,0.722
7,0.086,0.070,25.646,26.947,0.859,0.889,0.691,0.779
8,0.083,0.069,25.822,27.081,0.863,0.888,0.715,0.781
9,0.075,0.068,26.272,27.109,0.872,0.888,0.737,0.781
10,0.065,0.068,26.879,27.273,0.883,0.890,0.777,0.773
11,0.065,0.067,26.937,27.437,0.883,0.891,0.775,0.785
12,0.064,0.062,26.978,28.559,0.885,0.898,0.776,0.829
13,0.063,0.058,27.307,28.794,0.886,0.900,0.783,0.834
14,0.063,0.058,27.346,28.926,0.888,0.903,0.784,0.844
15,0.063,0.057,27.408,29.191,0.889,0.906,0.787,0.852
16,0.061,0.054,27.466,29.297,0.891,0.907,0.790,0.856
17,0.061,0.052,27.538,29.638,0.892,0.910,0.790,0.868
18,0.059,0.051,27.786,29.689,0.896,0.912,0.803,0.868
19,0.060,0.050,27.854,29.802,0.896,0.913,0.805,0.870
20,0.059,0.049,27.974,29.841,0.898,0.913,0.812,0.873
