NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.234,0.234,19.103,19.103,0.784,0.784,0.014,0.014
2,0.135,0.135,22.946,22.946,0.821,0.821,0.427,0.427
3,0.119,0.119,23.388,23.388,0.829,0.829,0.474,0.474
4,0.118,0.118,23.771,23.771,0.835,0.835,0.505,0.505
5,0.088,0.088,25.293,25.293,0.864,0.864,0.625,0.625
6,0.078,0.083,25.545,25.931,0.876,0.876,0.645,0.673
7,0.077,0.073,25.679,26.982,0.878,0.896,0.656,0.741
8,0.076,0.061,25.841,27.358,0.882,0.909,0.673,0.762
9,0.073,0.060,25.911,27.420,0.885,0.909,0.679,0.766
10,0.073,0.057,25.948,27.665,0.885,0.913,0.684,0.783
11,0.073,0.056,25.971,27.988,0.886,0.913,0.686,0.786
12,0.072,0.056,26.003,28.032,0.888,0.914,0.689,0.791
13,0.070,0.055,26.221,28.071,0.893,0.914,0.701,0.792
14,0.067,0.052,26.604,28.559,0.898,0.917,0.726,0.796
15,0.067,0.052,26.629,28.582,0.899,0.917,0.729,0.796
16,0.060,0.051,27.244,28.625,0.911,0.917,0.761,0.798
17,0.060,0.048,27.260,29.447,0.912,0.924,0.762,0.821
18,0.052,0.046,27.844,29.551,0.921,0.925,0.790,0.825
19,0.052,0.046,27.878,29.602,0.922,0.927,0.792,0.827
20,0.052,0.045,27.901,29.895,0.923,0.929,0.792,0.840
