NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.222,0.222,12.497,12.497,0.742,0.742,0.047,0.047
2,0.167,0.167,17.935,17.935,0.876,0.876,0.601,0.601
3,0.160,0.160,23.130,23.130,0.894,0.894,0.874,0.874
4,0.170,0.079,23.389,27.739,0.902,0.921,0.877,0.956
5,0.090,0.079,26.659,28.478,0.922,0.922,0.941,0.966
6,0.073,0.074,28.935,28.955,0.932,0.932,0.967,0.968
7,0.072,0.062,29.070,29.553,0.933,0.936,0.967,0.973
8,0.062,0.050,29.732,30.613,0.937,0.939,0.973,0.980
9,0.058,0.046,29.904,30.719,0.939,0.938,0.975,0.981
10,0.058,0.045,29.928,30.873,0.939,0.940,0.975,0.982
11,0.058,0.043,29.933,31.093,0.939,0.941,0.974,0.983
12,0.055,0.038,30.356,31.511,0.940,0.943,0.977,0.985
13,0.052,0.038,30.770,31.699,0.941,0.944,0.980,0.986
14,0.050,0.036,30.938,31.891,0.944,0.944,0.980,0.987
15,0.050,0.033,30.973,32.347,0.944,0.947,0.981,0.989
16,0.047,0.032,31.297,32.584,0.945,0.947,0.983,0.991
17,0.043,0.032,31.645,32.593,0.947,0.948,0.985,0.990
18,0.039,0.032,31.937,32.613,0.948,0.948,0.986,0.990
19,0.037,0.030,32.217,32.791,0.949,0.948,0.987,0.991
20,0.037,0.030,32.252,32.909,0.949,0.949,0.988,0.991
