NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.263,0.263,16.288,16.288,0.705,0.705,0.152,0.152
2,0.232,0.187,19.844,20.579,0.733,0.766,0.471,0.579
3,0.181,0.151,20.695,21.741,0.773,0.800,0.509,0.632
4,0.135,0.149,22.026,21.917,0.826,0.808,0.589,0.650
5,0.099,0.100,23.941,23.430,0.874,0.848,0.713,0.748
6,0.095,0.100,24.021,23.594,0.878,0.852,0.718,0.739
7,0.095,0.084,24.052,25.293,0.879,0.866,0.718,0.803
8,0.094,0.084,24.146,25.487,0.883,0.873,0.723,0.804
9,0.090,0.084,24.218,25.597,0.889,0.879,0.728,0.809
10,0.086,0.076,24.452,26.216,0.892,0.887,0.742,0.833
11,0.082,0.076,24.655,26.257,0.895,0.889,0.753,0.833
12,0.081,0.071,25.552,26.663,0.893,0.899,0.799,0.832
13,0.070,0.071,25.980,26.740,0.900,0.900,0.817,0.834
14,0.069,0.065,26.017,26.906,0.902,0.904,0.819,0.835
15,0.066,0.061,26.429,27.429,0.905,0.908,0.834,0.854
16,0.062,0.056,26.678,27.600,0.908,0.914,0.843,0.860
17,0.062,0.053,26.698,27.997,0.909,0.917,0.844,0.872
18,0.061,0.051,26.814,28.140,0.910,0.921,0.847,0.873
19,0.058,0.051,27.212,28.213,0.914,0.922,0.859,0.877
20,0.057,0.050,27.315,28.332,0.915,0.923,0.862,0.880
