NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.172,0.172,19.940,19.940,0.800,0.800,0.322,0.322
2,0.152,0.156,20.586,23.226,0.791,0.828,0.386,0.703
3,0.167,0.173,21.226,24.448,0.788,0.839,0.471,0.727
4,0.144,0.177,22.542,25.415,0.821,0.850,0.581,0.780
5,0.128,0.110,22.917,27.280,0.816,0.867,0.616,0.852
6,0.130,0.110,23.251,27.562,0.820,0.870,0.642,0.866
7,0.111,0.106,24.177,27.963,0.834,0.875,0.710,0.873
8,0.125,0.104,25.804,28.039,0.840,0.877,0.797,0.875
9,0.124,0.091,25.957,28.393,0.846,0.878,0.801,0.885
10,0.118,0.085,26.437,28.666,0.854,0.882,0.816,0.883
11,0.119,0.082,26.571,28.766,0.858,0.886,0.826,0.890
12,0.126,0.082,26.840,28.933,0.864,0.887,0.839,0.893
13,0.126,0.081,26.865,29.019,0.865,0.889,0.840,0.896
14,0.126,0.081,26.969,29.039,0.867,0.889,0.844,0.896
15,0.125,0.080,27.078,29.135,0.870,0.892,0.849,0.898
16,0.125,0.079,27.135,29.210,0.871,0.893,0.851,0.902
17,0.124,0.079,27.409,29.251,0.875,0.893,0.860,0.903
18,0.124,0.066,27.433,29.681,0.876,0.898,0.861,0.913
19,0.123,0.065,27.549,29.709,0.878,0.899,0.867,0.914
20,0.123,0.064,27.591,29.751,0.879,0.899,0.869,0.915
