NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.225,0.225,19.433,19.433,0.863,0.863,0.039,0.039
2,0.135,0.135,25.487,25.487,0.882,0.882,0.675,0.675
3,0.103,0.103,27.118,27.118,0.899,0.899,0.741,0.741
4,0.083,0.083,28.652,28.652,0.927,0.927,0.805,0.805
5,0.067,0.067,29.959,29.959,0.942,0.942,0.857,0.857
6,0.051,0.051,32.031,32.031,0.946,0.946,0.901,0.901
7,0.051,0.049,32.109,32.422,0.947,0.947,0.907,0.907
8,0.051,0.049,32.159,32.439,0.948,0.948,0.909,0.908
9,0.041,0.049,32.773,32.492,0.955,0.949,0.923,0.909
10,0.038,0.035,33.040,33.860,0.956,0.958,0.930,0.932
11,0.038,0.034,33.049,33.898,0.957,0.959,0.932,0.936
12,0.038,0.026,33.108,34.876,0.958,0.967,0.931,0.948
13,0.029,0.018,34.218,36.009,0.966,0.973,0.951,0.958
14,0.022,0.018,35.154,36.147,0.973,0.974,0.961,0.960
15,0.022,0.017,35.443,36.132,0.974,0.975,0.961,0.961
16,0.020,0.017,35.670,36.294,0.975,0.976,0.964,0.960
17,0.019,0.016,36.040,36.371,0.976,0.976,0.966,0.961
18,0.018,0.016,36.089,36.459,0.976,0.977,0.967,0.962
19,0.018,0.015,36.088,37.167,0.976,0.979,0.968,0.968
20,0.018,0.016,36.109,37.183,0.976,0.979,0.968,0.968
