NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.252,0.252,15.362,15.362,0.633,0.633,0.029,0.029
2,0.265,0.265,16.235,16.235,0.678,0.678,0.075,0.075
3,0.250,0.215,16.352,19.500,0.702,0.749,0.084,0.475
4,0.170,0.121,19.751,21.590,0.774,0.789,0.488,0.629
5,0.163,0.114,20.270,22.577,0.786,0.795,0.534,0.699
6,0.115,0.108,22.112,23.032,0.818,0.808,0.670,0.734
7,0.113,0.106,22.144,23.272,0.820,0.820,0.670,0.734
8,0.108,0.103,22.268,23.339,0.818,0.823,0.676,0.737
9,0.107,0.102,22.307,23.416,0.821,0.824,0.679,0.742
10,0.107,0.100,22.341,23.560,0.822,0.827,0.682,0.751
11,0.105,0.099,22.728,23.642,0.822,0.833,0.706,0.756
12,0.104,0.099,23.104,23.713,0.821,0.836,0.728,0.759
13,0.101,0.094,23.205,24.071,0.825,0.838,0.731,0.778
14,0.101,0.090,23.344,24.345,0.829,0.842,0.731,0.791
15,0.096,0.090,23.651,24.403,0.832,0.843,0.745,0.794
16,0.094,0.084,23.720,24.815,0.834,0.850,0.750,0.812
17,0.094,0.081,23.740,25.018,0.836,0.853,0.750,0.820
18,0.094,0.073,23.752,25.916,0.837,0.868,0.751,0.846
19,0.091,0.069,24.022,26.203,0.838,0.872,0.758,0.857
20,0.086,0.068,24.293,26.227,0.844,0.871,0.769,0.852
