NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.256,0.256,19.340,19.340,0.738,0.738,0.007,0.007
2,0.232,0.143,19.919,22.425,0.741,0.809,0.018,0.367
3,0.193,0.127,21.440,23.089,0.775,0.804,0.178,0.411
4,0.118,0.120,23.588,23.556,0.818,0.815,0.435,0.434
5,0.117,0.099,23.751,24.375,0.826,0.835,0.460,0.521
6,0.117,0.090,23.848,25.196,0.830,0.853,0.461,0.608
7,0.112,0.088,24.033,25.281,0.832,0.855,0.487,0.616
8,0.109,0.087,24.251,25.466,0.835,0.858,0.513,0.638
9,0.108,0.087,24.354,25.514,0.835,0.862,0.525,0.635
10,0.106,0.081,24.446,25.931,0.839,0.868,0.530,0.671
11,0.105,0.080,24.503,25.980,0.840,0.868,0.536,0.674
12,0.097,0.076,24.772,26.388,0.848,0.871,0.557,0.694
13,0.093,0.069,25.024,27.132,0.852,0.879,0.577,0.730
14,0.089,0.068,25.479,27.241,0.857,0.882,0.614,0.737
15,0.080,0.067,26.012,27.429,0.865,0.885,0.654,0.748
16,0.080,0.065,26.164,27.676,0.867,0.889,0.656,0.761
17,0.075,0.063,26.646,27.903,0.876,0.889,0.692,0.766
18,0.073,0.063,26.709,27.941,0.876,0.890,0.698,0.767
19,0.072,0.061,26.829,28.146,0.879,0.892,0.705,0.772
20,0.071,0.060,26.860,28.341,0.881,0.896,0.708,0.778
