NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.153,0.153,20.538,20.538,0.803,0.803,0.089,0.089
2,0.145,0.145,25.149,25.149,0.876,0.876,0.582,0.582
3,0.118,0.091,25.892,26.733,0.880,0.895,0.607,0.701
4,0.116,0.077,26.072,27.479,0.886,0.905,0.645,0.734
5,0.088,0.072,27.249,27.700,0.897,0.902,0.713,0.746
6,0.086,0.069,27.299,27.975,0.898,0.908,0.715,0.787
7,0.085,0.066,27.370,28.134,0.897,0.910,0.718,0.793
8,0.072,0.061,27.935,28.535,0.908,0.914,0.759,0.809
9,0.068,0.060,28.111,28.615,0.911,0.914,0.773,0.809
10,0.065,0.059,28.460,28.681,0.913,0.915,0.795,0.809
11,0.063,0.059,28.927,28.711,0.918,0.915,0.800,0.810
12,0.062,0.059,29.049,28.866,0.920,0.916,0.807,0.822
13,0.059,0.052,29.180,30.337,0.922,0.924,0.814,0.857
14,0.059,0.051,29.248,30.500,0.921,0.925,0.825,0.865
15,0.058,0.049,29.330,30.605,0.922,0.926,0.827,0.867
16,0.058,0.042,29.338,31.837,0.922,0.937,0.827,0.904
17,0.058,0.042,29.415,31.950,0.924,0.938,0.829,0.908
18,0.058,0.042,29.429,32.036,0.924,0.938,0.830,0.910
19,0.057,0.040,29.560,32.258,0.924,0.941,0.829,0.915
20,0.056,0.038,29.769,32.341,0.926,0.942,0.838,0.917
