NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.215,0.215,17.207,17.207,0.675,0.675,0.025,0.025
2,0.203,0.203,18.391,18.391,0.673,0.673,0.083,0.083
3,0.190,0.190,20.208,20.208,0.739,0.739,0.351,0.351
4,0.134,0.134,22.549,22.549,0.796,0.796,0.550,0.550
5,0.126,0.120,22.894,23.019,0.808,0.807,0.581,0.593
6,0.124,0.112,23.295,23.206,0.824,0.808,0.594,0.610
7,0.119,0.108,23.400,23.406,0.828,0.820,0.591,0.632
8,0.118,0.107,23.498,23.500,0.829,0.821,0.587,0.641
9,0.112,0.099,23.831,24.428,0.834,0.841,0.614,0.711
10,0.112,0.095,23.848,25.010,0.836,0.856,0.615,0.722
11,0.112,0.091,23.957,25.318,0.840,0.860,0.632,0.742
12,0.105,0.082,24.035,25.486,0.845,0.865,0.638,0.740
13,0.105,0.075,24.081,25.870,0.848,0.874,0.645,0.758
14,0.104,0.075,24.234,25.931,0.852,0.874,0.648,0.762
15,0.095,0.074,24.444,26.005,0.857,0.875,0.663,0.761
16,0.094,0.074,24.562,26.017,0.859,0.875,0.673,0.762
17,0.091,0.073,24.871,26.078,0.864,0.876,0.696,0.756
18,0.092,0.072,24.917,26.261,0.866,0.881,0.698,0.774
19,0.088,0.069,25.575,26.423,0.877,0.884,0.741,0.781
20,0.087,0.068,25.599,26.591,0.878,0.886,0.740,0.791
