NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.288,0.288,16.570,16.570,0.757,0.757,0.014,0.014
2,0.195,0.166,18.290,21.101,0.755,0.794,0.137,0.524
3,0.193,0.167,18.847,21.412,0.753,0.802,0.242,0.557
4,0.169,0.131,21.668,22.231,0.803,0.794,0.548,0.555
5,0.165,0.128,21.954,22.586,0.807,0.808,0.570,0.577
6,0.134,0.126,23.409,22.716,0.820,0.806,0.672,0.590
7,0.130,0.125,23.517,22.916,0.823,0.807,0.678,0.608
8,0.113,0.118,24.369,23.843,0.835,0.816,0.726,0.674
9,0.112,0.106,24.542,24.973,0.841,0.835,0.737,0.751
10,0.105,0.096,24.771,25.591,0.841,0.842,0.751,0.780
11,0.100,0.094,25.315,25.785,0.847,0.849,0.775,0.791
12,0.100,0.089,25.415,26.166,0.848,0.855,0.780,0.808
13,0.099,0.086,25.507,26.363,0.851,0.855,0.784,0.814
14,0.095,0.085,25.698,26.655,0.857,0.858,0.794,0.825
15,0.095,0.084,25.756,26.748,0.859,0.860,0.793,0.829
16,0.094,0.081,25.809,26.987,0.860,0.864,0.797,0.835
17,0.093,0.079,25.915,27.127,0.863,0.866,0.802,0.839
18,0.093,0.078,25.934,27.382,0.864,0.871,0.802,0.847
19,0.093,0.077,26.014,27.414,0.865,0.871,0.806,0.850
20,0.089,0.076,26.256,27.509,0.867,0.874,0.815,0.851
