NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.186,0.186,22.646,22.646,0.867,0.867,0.680,0.680
2,0.130,0.130,27.820,27.820,0.917,0.917,0.918,0.918
3,0.095,0.095,29.233,29.233,0.932,0.932,0.968,0.968
4,0.075,0.075,32.634,32.634,0.955,0.955,0.982,0.982
5,0.071,0.057,33.238,33.353,0.956,0.961,0.989,0.991
6,0.072,0.047,33.323,34.716,0.956,0.968,0.999,0.985
7,0.053,0.043,34.220,34.965,0.962,0.970,1.007,0.988
8,0.051,0.043,34.371,35.213,0.962,0.969,1.001,0.996
9,0.051,0.043,34.382,35.319,0.962,0.969,1.001,1.007
10,0.050,0.043,34.437,35.419,0.962,0.970,1.001,1.012
11,0.047,0.042,35.033,35.533,0.967,0.970,1.004,1.013
12,0.042,0.040,35.552,35.754,0.970,0.970,0.999,1.006
13,0.040,0.039,35.705,35.770,0.971,0.971,0.999,1.006
14,0.039,0.039,35.852,35.812,0.972,0.971,1.004,1.007
15,0.039,0.039,35.918,35.818,0.972,0.971,1.009,1.007
16,0.038,0.038,36.035,35.966,0.972,0.972,1.003,1.008
17,0.038,0.037,36.119,36.034,0.973,0.972,1.003,1.005
18,0.038,0.037,36.126,36.202,0.973,0.973,1.002,1.005
19,0.038,0.036,36.149,36.368,0.973,0.974,1.002,1.011
20,0.038,0.034,36.169,36.978,0.973,0.977,0.999,1.007
