NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.317,0.317,16.363,16.363,0.745,0.745,0.001,0.001
2,0.216,0.143,17.027,21.569,0.724,0.824,0.070,0.535
3,0.168,0.134,19.532,22.318,0.770,0.814,0.401,0.611
4,0.163,0.133,22.019,22.424,0.812,0.816,0.590,0.618
5,0.172,0.107,22.605,23.673,0.819,0.837,0.644,0.711
6,0.155,0.105,22.793,23.730,0.823,0.837,0.656,0.715
7,0.141,0.094,23.240,24.986,0.828,0.847,0.696,0.783
8,0.138,0.090,23.601,25.340,0.832,0.853,0.714,0.803
9,0.122,0.087,23.861,26.267,0.837,0.862,0.721,0.831
10,0.120,0.069,24.137,27.439,0.842,0.880,0.739,0.861
11,0.111,0.066,24.583,27.562,0.848,0.882,0.762,0.864
12,0.104,0.065,25.013,27.633,0.855,0.885,0.782,0.864
13,0.104,0.065,25.086,27.683,0.858,0.886,0.785,0.863
14,0.096,0.063,25.333,27.879,0.863,0.891,0.791,0.866
15,0.097,0.063,25.873,27.917,0.867,0.892,0.804,0.868
16,0.096,0.063,25.985,27.963,0.869,0.893,0.810,0.870
17,0.095,0.062,26.031,28.124,0.870,0.897,0.813,0.874
18,0.095,0.060,26.041,28.208,0.870,0.898,0.813,0.875
19,0.095,0.060,26.067,28.261,0.872,0.900,0.814,0.876
20,0.093,0.059,26.282,28.297,0.876,0.901,0.821,0.877
