NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.236,0.236,17.162,17.162,0.668,0.668,0.016,0.016
2,0.264,0.182,17.721,21.200,0.660,0.772,0.035,0.432
3,0.257,0.180,18.029,21.430,0.658,0.765,0.070,0.453
4,0.193,0.122,18.668,22.035,0.688,0.785,0.127,0.489
5,0.198,0.123,19.584,22.378,0.711,0.791,0.231,0.518
6,0.186,0.123,20.409,22.422,0.741,0.792,0.336,0.527
7,0.184,0.128,21.437,22.583,0.760,0.797,0.456,0.543
8,0.183,0.112,21.497,23.159,0.762,0.809,0.459,0.593
9,0.143,0.112,22.881,23.453,0.796,0.810,0.574,0.614
10,0.142,0.106,23.013,23.942,0.802,0.819,0.578,0.655
11,0.142,0.097,23.133,24.372,0.809,0.829,0.588,0.680
12,0.131,0.090,23.251,24.729,0.815,0.835,0.594,0.708
13,0.118,0.089,23.598,24.779,0.821,0.836,0.618,0.712
14,0.112,0.088,23.867,24.878,0.826,0.839,0.638,0.711
15,0.094,0.084,24.732,25.208,0.841,0.845,0.697,0.730
16,0.094,0.084,24.815,25.267,0.844,0.846,0.697,0.733
17,0.093,0.083,24.859,25.315,0.845,0.848,0.702,0.735
18,0.093,0.080,24.949,25.691,0.849,0.852,0.705,0.748
19,0.089,0.079,25.289,25.766,0.859,0.855,0.726,0.751
20,0.089,0.077,25.328,25.824,0.860,0.858,0.729,0.752
