NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.206,0.206,16.195,16.195,0.689,0.689,0.117,0.117
2,0.194,0.261,16.515,19.998,0.692,0.794,0.137,0.518
3,0.204,0.154,18.751,21.310,0.751,0.807,0.392,0.625
4,0.212,0.133,19.060,23.039,0.770,0.826,0.434,0.735
5,0.174,0.118,20.902,24.324,0.811,0.833,0.583,0.802
6,0.168,0.119,21.174,24.370,0.827,0.837,0.607,0.805
7,0.117,0.102,24.121,24.788,0.858,0.841,0.768,0.826
8,0.095,0.098,24.572,25.393,0.865,0.864,0.792,0.837
9,0.093,0.093,24.637,25.644,0.866,0.864,0.793,0.846
10,0.092,0.090,24.717,25.689,0.869,0.865,0.798,0.846
11,0.091,0.088,24.813,25.835,0.872,0.867,0.800,0.850
12,0.090,0.088,24.841,25.859,0.872,0.869,0.800,0.851
13,0.089,0.087,25.004,26.015,0.875,0.873,0.807,0.856
14,0.089,0.086,25.017,26.025,0.877,0.873,0.809,0.857
15,0.089,0.085,25.149,26.079,0.882,0.874,0.815,0.850
16,0.089,0.085,25.169,26.086,0.883,0.875,0.816,0.851
17,0.088,0.083,25.238,26.127,0.884,0.877,0.819,0.852
18,0.088,0.082,25.254,26.158,0.884,0.879,0.820,0.853
19,0.087,0.079,25.427,26.283,0.887,0.882,0.828,0.858
20,0.087,0.079,25.446,26.304,0.888,0.883,0.828,0.858
