NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.282,0.282,16.145,16.145,0.527,0.527,0.002,0.002
2,0.238,0.161,16.722,19.727,0.616,0.683,0.033,0.380
3,0.233,0.137,17.165,21.190,0.681,0.739,0.097,0.486
4,0.235,0.125,17.201,22.342,0.688,0.793,0.100,0.615
5,0.172,0.123,18.834,22.585,0.739,0.807,0.271,0.632
6,0.138,0.117,21.067,22.692,0.784,0.813,0.501,0.637
7,0.134,0.115,21.153,22.860,0.790,0.821,0.506,0.646
8,0.134,0.107,21.195,23.525,0.794,0.830,0.512,0.691
9,0.134,0.104,21.225,23.898,0.796,0.835,0.515,0.715
10,0.125,0.103,21.908,23.960,0.817,0.839,0.583,0.720
11,0.120,0.103,22.546,24.015,0.825,0.840,0.633,0.722
12,0.119,0.099,22.762,24.286,0.827,0.853,0.647,0.734
13,0.117,0.095,22.996,24.601,0.832,0.857,0.666,0.749
14,0.114,0.095,23.368,24.738,0.838,0.865,0.690,0.757
15,0.114,0.095,23.399,24.776,0.839,0.867,0.692,0.759
16,0.113,0.093,23.494,24.804,0.840,0.869,0.698,0.760
17,0.112,0.092,23.523,24.847,0.843,0.871,0.698,0.761
18,0.112,0.092,23.590,24.864,0.845,0.871,0.702,0.762
19,0.101,0.091,24.335,24.950,0.858,0.873,0.739,0.766
20,0.099,0.091,24.621,24.985,0.863,0.875,0.754,0.768
