NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.160,0.160,16.892,16.892,0.786,0.786,0.172,0.172
2,0.185,0.208,17.515,19.198,0.776,0.845,0.259,0.444
3,0.200,0.162,19.314,21.925,0.797,0.859,0.463,0.627
4,0.198,0.153,20.408,22.608,0.814,0.874,0.558,0.663
5,0.140,0.123,22.193,23.880,0.846,0.863,0.671,0.760
6,0.137,0.103,22.449,25.905,0.851,0.884,0.688,0.836
7,0.111,0.098,24.728,26.027,0.886,0.885,0.781,0.839
8,0.110,0.069,24.858,27.687,0.891,0.914,0.785,0.885
9,0.099,0.065,26.195,28.020,0.904,0.921,0.834,0.894
10,0.095,0.062,26.349,28.185,0.905,0.922,0.839,0.897
11,0.090,0.062,27.024,28.264,0.925,0.925,0.859,0.898
12,0.087,0.060,27.216,28.646,0.932,0.926,0.864,0.903
13,0.058,0.057,28.954,29.060,0.942,0.929,0.898,0.912
14,0.058,0.049,29.008,29.930,0.943,0.941,0.899,0.928
15,0.055,0.047,29.182,30.396,0.947,0.948,0.902,0.933
16,0.050,0.047,29.851,30.495,0.950,0.949,0.913,0.934
17,0.050,0.040,29.900,31.085,0.951,0.959,0.913,0.942
18,0.050,0.040,30.076,31.135,0.954,0.960,0.918,0.942
19,0.050,0.040,30.190,31.275,0.956,0.960,0.919,0.945
20,0.047,0.040,30.599,31.373,0.958,0.961,0.926,0.946
