NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.208,0.208,17.145,17.145,0.736,0.736,0.150,0.150
2,0.160,0.136,19.380,21.683,0.749,0.801,0.386,0.627
3,0.121,0.116,21.967,24.158,0.807,0.847,0.626,0.785
4,0.113,0.113,22.397,24.261,0.810,0.848,0.662,0.790
5,0.112,0.094,23.042,25.142,0.824,0.864,0.713,0.816
6,0.113,0.095,23.115,25.264,0.822,0.862,0.712,0.815
7,0.112,0.094,23.365,25.684,0.826,0.867,0.723,0.826
8,0.114,0.091,23.579,25.775,0.835,0.869,0.738,0.835
9,0.113,0.087,23.612,27.003,0.838,0.884,0.740,0.862
10,0.115,0.086,23.677,27.256,0.842,0.889,0.745,0.871
11,0.108,0.086,24.028,27.364,0.846,0.892,0.765,0.870
12,0.108,0.086,24.036,27.385,0.846,0.892,0.766,0.870
13,0.105,0.085,24.723,27.416,0.858,0.893,0.792,0.871
14,0.105,0.076,24.745,27.728,0.859,0.897,0.793,0.879
15,0.105,0.075,24.866,27.776,0.864,0.897,0.799,0.878
16,0.103,0.049,24.908,28.954,0.865,0.908,0.801,0.907
17,0.103,0.048,24.913,28.966,0.866,0.909,0.802,0.907
18,0.076,0.048,26.086,29.010,0.870,0.909,0.835,0.908
19,0.076,0.048,26.109,29.046,0.870,0.910,0.835,0.908
20,0.074,0.047,26.366,29.078,0.874,0.911,0.844,0.909
