,GMSD,PSNR,SSIM,VIF
0,0.177653999,17.10502476,0.739684657,0.340004709
1,0.186336575,20.74098184,0.761533367,0.610403735
2,0.15061329,21.91567475,0.761372695,0.712202036
3,0.10533694,23.77096663,0.797750737,0.802458844
4,0.103815856,23.91164883,0.808581033,0.814998539
5,0.100947521,24.28353453,0.818496873,0.837835948
6,0.090447197,25.2312818,0.8329794,0.876447313
7,0.085237709,25.75826402,0.84300068,0.86948143
8,0.083761273,26.12063128,0.8482705,0.883830622
9,0.083182932,26.33044746,0.852524397,0.893223736
10,0.083107424,26.41053986,0.853908728,0.89609699
11,0.08155188,26.6114948,0.856262705,0.902049705
12,0.081530998,26.61746356,0.856583209,0.902088957
13,0.077500517,26.95752481,0.865371424,0.906447651
14,0.077556277,26.9696778,0.865910073,0.906623049
15,0.07746043,26.98894576,0.86697587,0.906872876
16,0.077437054,26.99492319,0.867447337,0.907023614
17,0.0771792,27.02348873,0.868872845,0.905393875
18,0.07610139,27.1621078,0.873916617,0.906531745
19,0.075312324,27.23296464,0.876097379,0.908439663
