,GMSD,PSNR,SSIM,VIF
0,0.198102412776,19.2009889437,0.700852790214,0.1733445806
1,0.15701350814,23.0777372129,0.775986419976,0.459884984349
2,0.123509024894,25.0493457653,0.823435406969,0.558306223759
3,0.103845957354,26.072931611,0.853824517567,0.607891544211
4,0.097317844275,26.8003760738,0.856653919018,0.676667587733
5,0.0944383243759,27.5829345271,0.868272057605,0.704578546093
6,0.0885183938232,28.0320214514,0.87692564875,0.721625943862
7,0.0751390274314,28.5410623321,0.885999901092,0.750418837937
8,0.0761446765653,28.8926839708,0.892776023017,0.763039163623
9,0.0704211884178,29.2624029096,0.900221951085,0.772868932742
10,0.0676273854626,29.5353384969,0.905119714176,0.784501536344
11,0.063162946835,29.7907435863,0.907490244132,0.797412031783
12,0.0603953349102,30.028888561,0.912747209884,0.801445692671
13,0.0594595531299,30.2492427995,0.915369249639,0.808579467949
14,0.05734495542,30.4389197137,0.918453833659,0.821659446403
15,0.0542059548128,30.6236577343,0.920988711616,0.823024271096
16,0.0524116435593,30.7869543649,0.921674841774,0.834049978081
17,0.0500329453726,30.9448819078,0.923593846438,0.83689000614
18,0.0503925037306,31.1014196225,0.926114974684,0.843056688152
19,0.0482914769963,31.2525448512,0.927647857743,0.847584769542
